3z 150 mg, pó para suspensão oral, 150 mg
3z 200 mg, pó para suspensão oral, 200 mg
3z 250 mg, pó para suspensão oral, 250 mg
3z 500 mg, pó para suspensão oral, 500 mg
AAS 150, 150 mg
AAS, 500 mg
Abasaglar, 100 U/ml
Abilify Maintena, 300 mg
Abilify Maintena, 400 mg
Abilify, 1 mg/ml
Abilify, 10 mg
Abilify, 15 mg
Abilify, 7.5 mg/ml
Abolibe Forte, 40 mg/ml
Abstral, 100 µg
Abstral, 200 µg
Abstral, 300 µg
Abstral, 400 µg
Abstral, 600 µg
Abstral, 800 µg
Acabel 4, 4 mg
Acabel 8, 8 mg
Acabel 8, 8 mg/2 ml
Acabel Rapid, 8 mg
Acalka, 1080 mg
Acarbose Bluepharma, 100 mg
Acarbose Bluepharma, 50 mg
Acarbose Bluesar, 100 mg
Acarbose Bluesar, 50 mg
Acarbose DNA Pharma, 100 mg
Acarbose DNA Pharma, 50 mg
Acarbose Establix, 100 mg
Acarbose Establix, 50 mg
Acarbose Farmoz, 100 mg
Acarbose Farmoz, 50 mg
Acarbose Friulchem, 100 mg
Acarbose Friulchem, 50 mg
Acarbose Generis, 100 mg
Acarbose Generis, 50 mg
Acarbose Labesfal, 100 mg
Acarbose Labesfal, 50 mg
Acarbose Mylan, 100 mg
Acarbose Mylan, 50 mg
Acarilbial, 277 mg/ml
Aceclofenac Alter 100 mg Comprimidos, 100 mg
Aceclofenac Ciclum 100 mg Comprimidos, 100 mg
Aceclofenac Generis 100 mg Comprimidos, 100 mg
Aceclofenac Mylan, 100 mg
Aceclofenac Ratiopharm, 100 mg
Acetar, 1200 mg
Acetar, 6 g/30 ml
Acetato de Eslicarbazepina Mylan Pharma, 800 mg
Acetato de eslicarbazepina Pharmakern, 800 mg
Acetilcisteína Azevedos, 40 mg/ml
Acetilcisteína Azevedos, 600 mg
Acetilcisteína Bluepharma, 600 mg
Acetilcisteína Bluval 600 mg Comprimidos efervescentes, 600 mg
Acetilcisteína Cinfa, 600 mg
Acetilcisteína Farmoz, 40 mg/ml
Acetilcisteína Liboran, 200 mg
Acetilcisteína Liboran, 600 mg
Acetilcisteína Pharmakern, 600 mg
Acetilcisteína Sandoz, 20 mg/ml
Acetilcisteína Sandoz, 600 mg
Acetilcisteína Tussilene, 40 mg/ml
Acetilcisteína Tussilene, 600 mg
Acfol, 5 mg
Aciclosina, 50 mg/g
Aciclovax, 250 mg
Aciclovir Aristo, 50 mg/g
Aciclovir Aurovitas, 200 mg
Aciclovir Aurovitas, 400 mg
Aciclovir Aurovitas, 800 mg
Aciclovir Axone, 50 mg/g
Aciclovir Bluepharma, 50 mg/g
Aciclovir Ciclum, 200 mg
Aciclovir Ciclum, 800 mg
Aciclovir Cinfa 800 mg Comprimidos Dispersíveis, 800 mg
Aciclovir Generis 200 mg Comprimidos, 200 mg
